lugar,texto,calificacion,categoria,fuente,idioma_comentario,comentarios_espanol,emojis
Playa Manuel Antonio,"Manuel Antonio Beach is absolutely stunning. The waves were putting on a show, horses were casually walking down the shoreline like they owned the place, and even the hermit crabs seemed to be enjoying the vacation. The scenery looks like a postcard but with better sound effects. Just be prepared the ocean may lovingly throw you around a few times before welcoming you. Would definitely come back!",5.0,parque,google_maps,en,"La playa de Manuel Antonio es absolutamente impresionante. Las olas estaban dando un espectáculo, los caballos caminaban casualmente por la costa como si fueran dueños del lugar, e incluso los cangrejos ermitaños parecían estar disfrutando de las vacaciones. El paisaje parece una postal pero con mejores efectos de sonido. Solo prepárate, el océano puede arrojarte amorosamente unas cuantas veces antes de darte la bienvenida. ¡Definitivamente regresaría!",
Playa Manuel Antonio,Una de las dos playas que están separadas en el Parque Nacional de Manuel Antonio por un tómbolo de arena. Es en la que más gente se baña y es segura para dejar tus pertenencias (por lo general). También puedes ver iguanas en la sombra de los árboles! 😊,5.0,parque,google_maps,es,Una de las dos playas que están separadas en el Parque Nacional de Manuel Antonio por un tómbolo de arena. Es en la que más gente se baña y es segura para dejar tus pertenencias (por lo general). También puedes ver iguanas en la sombra de los árboles!,😊
Playa Manuel Antonio,Plage exceptionnelle accessible uniquement en payant l'entrée au parc.,5.0,parque,google_maps,fr,Playa excepcional a la que sólo se puede acceder pagando la entrada al parque.,
Playa Manuel Antonio,For any tourist or even locals MAB is incredible.  CR Government managed.  Worth the trip in my opinion,5.0,parque,google_maps,en,"Para cualquier turista o incluso local, MAB es increíble.  Gobierno de CR gestionado.  En mi opinión, vale la pena el viaje.",
Playa Manuel Antonio,"Jolie plage mais pas la plus belle su pays, il y avait beaucoup de monde , nous avons rencontré un alligator vers le poste de police ""coco"" qui se balade dans les parages depuis 20 ans. Les boutiques de souvenirs sont hors de prix malheureusement.",4.0,parque,google_maps,fr,"Bonita playa pero no la más bonita del país, había mucha gente, nos encontramos con un caimán cerca de la comisaría de ""coco"" que anda deambulando desde hace 20 años. Desafortunadamente, las tiendas de souvenirs son demasiado caras.",
Playa Manuel Antonio,Really beautiful beach. But watch out for the monkeys — they’ll unzip your backpack and look for snacks!,5.0,parque,google_maps,en,Playa realmente hermosa. Pero ten cuidado con los monos: ¡abrirán la cremallera de tu mochila y buscarán bocadillos!,
Playa Manuel Antonio,"Me encantó el agua súper transparente habían peces por la orilla de las olas, fui al lado de las piedras y habían un montón de peces, no habían muchas olas a la hora q fui",5.0,parque,google_maps,es,"Me encantó el agua súper transparente habían peces por la orilla de las olas, fui al lado de las piedras y habían un montón de peces, no habían muchas olas a la hora q fui",
Playa Manuel Antonio,Beautifull beaches on this natural Park. Special remark for Playa Gemelas (Twin Beaches),5.0,parque,google_maps,en,Hermosas playas en este parque natural. Comentario especial para Playa Gemelas (Playas Gemelas),
Playa Manuel Antonio,"Paraíso! Dentro de la reserva de encuentra esta joya de arena blanca y un mar que refresca y energiza. Sin dudas, volvería y recomiendo!!",5.0,parque,google_maps,es,"Paraíso! Dentro de la reserva de encuentra esta joya de arena blanca y un mar que refresca y energiza. Sin dudas, volvería y recomiendo!!",
Playa Manuel Antonio,"Hermosa playa, tener vudoadi con las corrientes, muy limpia",5.0,parque,google_maps,es,"Hermosa playa, tener vudoadi con las corrientes, muy limpia",
